Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 40),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 40),Unit Price (@ Batch Size: 40),Unit Price (@ Batch Size: 40),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 40) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
1,ATMEGA328PB-AURCT-ND,Atmel,ATMEGA328PB-AUR,https://octopart.com/atmega328pb-aur-atmel-65276028,U1,,,40,ATMEGA328PB-AURCT-ND,ATMEGA328PB-AUR,58Y6084,Cut Tape,,Tape & Reel,296.40726716,,,2092,1656,0,1,2000,2000,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0fe8ed2&sid=459&ppid=65276028&vpid=238682252&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0ac43bb&sid=2401&ppid=65276028&vpid=262043456&ct=offers,https://octopart-clicks.com/click/track?c=1&country=JP&ak=68b25f31&sig=0fc96b5&sid=2402&ppid=65276028&vpid=230041522&ct=offers,Arrow,ATMEGA328PB-AUR,,292.2280801,292.2280801,11689.123204,22,1,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0677581&sid=1106&ppid=65276028&vpid=229973016&ct=offers,
1,BAT-HLD-001-ND,Linx,BAT-HLD-001,https://octopart.com/bat-hld-001-linx-12684376,CN2,,,40,BAT-HLD-001-ND,BAT-HLD-001,,Bulk,,,26.965206959999996,26.9862079,,34274,68030,,1,,,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=04b7d6c&sid=459&ppid=12684376&vpid=34288767&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0bfad2c&sid=2401&ppid=12684376&vpid=37913373&ct=offers,,DComponents,BAT-HLD-001,,25.201128,25.201128,1008.04512,0,1,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=030099e&sid=18770&ppid=12684376&vpid=212191461&ct=offers,
1,563-1102-1-ND,Copal,CUS-12TB,https://octopart.com/cus-12tb-copal-1259175,SW1,,,40,563-1102-1-ND,,,Cut Tape,,,69.89112831999999,,,26527,,,1,,,https://octopart-clicks.com/click/track?c=1&country=JP&ak=68b25f31&sig=09437cf&sid=459&ppid=1259175&vpid=1413475&ct=offers,,,Chip One Stop Japan,COPA-0004675,Cut Tape,67,67,2680,1823,5,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0663d93&sid=13512&ppid=1259175&vpid=244920080&ct=offers,
1,455-1750-1-ND,JST,S3B-PH-SM4-TB(LF)(SN),https://octopart.com/s3b-ph-sm4-tb%28lf%29%28sn%29-jst-248914,CN1,,,40,455-1750-1-ND,,38K8071,Cut Tape,,Cut Tape,67.5180221,,48.407166700000005,36496,,13308,1,,10,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=03f42f6&sid=459&ppid=248914&vpid=1439466&ct=offers,,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0e3b81c&sid=2402&ppid=248914&vpid=6724023&ct=offers,Component Distributors Inc.,S3B-PH-SM4-TB(LF)(SN),Tape & Reel,29.926339499999997,29.926339499999997,1197.0535799999998,0,1,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=044e6b0&sid=2025&ppid=248914&vpid=5001202&ct=offers,
1,MMBT3906LT1GOSCT-ND,ON Semiconductor,MMBT3906LT1G,https://octopart.com/mmbt3906lt1g-on+semiconductor-55396404,Q1,,,40,MMBT3906LT1GOSCT-ND,MMBT3906LT1G,48K7500,Cut Tape,,Cut Tape,10.185455900000001,9.7654371,1.2600564,253534,131352,22131,1,,1,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=05355be&sid=459&ppid=55396404&vpid=188053661&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0471c95&sid=2401&ppid=55396404&vpid=187829990&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=068e23f&sid=2402&ppid=55396404&vpid=190848298&ct=offers,Express Electronics,MMBT3906LT1G,,0.5250235,0.5250235,21.00094,100,,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0b8e20b&sid=2450&ppid=55396404&vpid=193805450&ct=offers,
3,1N4148WSFSCT-ND,Fairchild Semiconductor,1N4148WS,https://octopart.com/1n4148ws-fairchild+semiconductor-7851016,"D1, D2, D3",,,120,1N4148WSFSCT-ND,1N4148WS,31Y5518,Cut Tape,,Cut Tape,7.969856729999999,4.9352209,3.8851739,160186,66663,0,1,,5,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=059a92d&sid=459&ppid=7851016&vpid=34028390&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=05cd967&sid=2401&ppid=7851016&vpid=37792678&ct=offers,https://octopart-clicks.com/click/track?c=1&country=JP&ak=68b25f31&sig=03c4a6d&sid=2402&ppid=7851016&vpid=181220059&ct=offers,Rochester Electronics,1N4148WS,,2.100094,6.300281999999999,252.01128,71700,,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0f9a3b8&sid=5832&ppid=7851016&vpid=84911841&ct=offers,
1,RC0805FR-07100RL,Yageo,RC0805FR-07100RL,https://octopart.com/rc0805fr-07100rl-yageo-41204584,R4,,,40,311-100CRCT-ND,RC0805FR-07100RL,68R0232,Cut Tape,,Cut Tape,1.59607144,1.6800752,1.4700658,1286807,330680,5684,1,,1,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0b312f9&sid=459&ppid=41204584&vpid=114983192&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0f74a09&sid=2401&ppid=41204584&vpid=117598060&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0e30985&sid=2402&ppid=41204584&vpid=120188513&ct=offers,Farnell,9237364,Cut Tape,1.2600785552273448,1.2600785552273448,50.403142209093794,65041,10,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0b38f9f&sid=819&ppid=41204584&vpid=139823249&ct=offers,
1,RC0805FR-071KL,Yageo,RC0805FR-071KL,https://octopart.com/rc0805fr-071kl-yageo-40025555,R1,,,40,311-1.00KCRCT-ND,RC0805FR-071KL,68R0225,Cut Tape,,Cut Tape,1.59607144,1.6800752,1.4700658,2015169,830972,3462,1,,1,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0e43714&sid=459&ppid=40025555&vpid=116457910&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=03490a0&sid=2401&ppid=40025555&vpid=114830367&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0527977&sid=2402&ppid=40025555&vpid=116019403&ct=offers,Gerber,RC0805FR-071KL,,0.426319082,0.426319082,17.05276328,5000,,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=01d96db&sid=2409&ppid=40025555&vpid=166254046&ct=offers,
1,311-470CRCT-ND,Yageo,RC0805FR-07470RL,https://octopart.com/rc0805fr-07470rl-yageo-40315650,R2,,,40,311-470CRCT-ND,RC0805FR-07470RL,89K7298,Cut Tape,,Cut Tape,1.59607144,1.6800752,1.6800752,307268,25108,5646,1,,10,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0f10756&sid=459&ppid=40315650&vpid=115969957&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=05938a6&sid=2401&ppid=40315650&vpid=115837040&ct=offers,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=03d637a&sid=2402&ppid=40315650&vpid=20052300&ct=offers,Area51,RC0805FR-07470RL,,0.26251175,0.26251175,10.50047,5000,,https://octopart-clicks.com/click/track?country=JP&ak=68b25f31&sig=0c4c36d&sid=13811&ppid=40315650&vpid=227731735&ct=offers,
